"cnty_fips","display_name","Value","theme_range"
48245,"""Jefferson, (TX)""",89.4,"88.5 - 173.8 (642)"
48247,"""Jim Hogg, (TX)""",72.6,"70.6 - 77.9 (646)"
48249,"""Jim Wells, (TX)""",80.6,"78.0 - 88.4 (638)"
48255,"""Karnes, (TX)""",85.4,"78.0 - 88.4 (638)"
48259,"""Kendall, (TX)""",67.1,"61.9 - 70.5 (645)"
48261,"""Kenedy, (TX)""",48.6,"0.0 - 61.8 (645)"
48265,"""Kerr, (TX)""",67.1,"61.9 - 70.5 (645)"
48267,"""Kimble, (TX)""",68,"61.9 - 70.5 (645)"
48271,"""Kinney, (TX)""",81,"78.0 - 88.4 (638)"
48273,"""Kleberg, (TX)""",79.5,"78.0 - 88.4 (638)"
48281,"""Lampasas, (TX)""",74.1,"70.6 - 77.9 (646)"
48283,"""La Salle, (TX)""",73.1,"70.6 - 77.9 (646)"
48285,"""Lavaca, (TX)""",67.6,"61.9 - 70.5 (645)"
48287,"""Lee, (TX)""",68,"61.9 - 70.5 (645)"
48289,"""Leon, (TX)""",77.8,"70.6 - 77.9 (646)"
48291,"""Liberty, (TX)""",87.8,"78.0 - 88.4 (638)"
48293,"""Limestone, (TX)""",90.6,"88.5 - 173.8 (642)"
48297,"""Live Oak, (TX)""",87.8,"78.0 - 88.4 (638)"
48299,"""Llano, (TX)""",66.7,"61.9 - 70.5 (645)"
48301,"""Loving, (TX)""",73.2,"70.6 - 77.9 (646)"
48307,"""McCulloch, (TX)""",95.6,"88.5 - 173.8 (642)"
48309,"""McLennan, (TX)""",93,"88.5 - 173.8 (642)"
48311,"""McMullen, (TX)""",72.8,"70.6 - 77.9 (646)"
48313,"""Madison, (TX)""",78.2,"78.0 - 88.4 (638)"
48319,"""Mason, (TX)""",65.1,"61.9 - 70.5 (645)"
48321,"""Matagorda, (TX)""",86.5,"78.0 - 88.4 (638)"
48323,"""Maverick, (TX)""",73.5,"70.6 - 77.9 (646)"
48325,"""Medina, (TX)""",83.5,"78.0 - 88.4 (638)"
48327,"""Menard, (TX)""",80.1,"78.0 - 88.4 (638)"
48329,"""Midland, (TX)""",75.9,"70.6 - 77.9 (646)"
48331,"""Milam, (TX)""",67.5,"61.9 - 70.5 (645)"
48333,"""Mills, (TX)""",84.3,"78.0 - 88.4 (638)"
48339,"""Montgomery, (TX)""",74.4,"70.6 - 77.9 (646)"
48347,"""Nacogdoches, (TX)""",95.2,"88.5 - 173.8 (642)"
48349,"""Navarro, (TX)""",95.2,"88.5 - 173.8 (642)"
48351,"""Newton, (TX)""",89.5,"88.5 - 173.8 (642)"
48355,"""Nueces, (TX)""",80.2,"78.0 - 88.4 (638)"
48361,"""Orange, (TX)""",92.8,"88.5 - 173.8 (642)"
